tourn_type,tourn_name,tourn_id,tourn_location,tourn_start_year,tourn_ground,tourn_value,tourn_winner,winner_id
ATP 250,Argentina Open,506,buenos-aires,2022,Clay,"$686,700",Casper Ruud,rh16
ATP 500,Rio Open presented by Claro,6932,rio-de-janeiro,2022,Clay,"$1,815,115",Carlos Alcaraz,a0e2
ATP 250,Qatar ExxonMobil Open,451,doha,2022,Hard,"$1,176,595",Roberto Bautista Agut,bd06
ATP 250,Delray Beach Open,499,delray-beach,2022,Hard,"$664,275",Cameron Norrie,n771
ATP 250,Open 13 Provence,496,marseille,2022,Hard,"€622,610",Andrey Rublev,re44
ATP 500,Dubai Duty Free Tennis Championships,495,dubai,2022,Hard,"$2,949,665",Andrey Rublev,re44
ATP 500,Abierto Mexicano Telcel presentado por HSBC,807,acapulco,2022,Hard,"$1,832,890",Rafael Nadal,n409
ATP 250,Chile Dove Men+Care Open,8996,santiago,2022,Clay,"$546,340",Pedro Martinez,mo44
Masters 1000,BNP Paribas Open,404,indian-wells,2022,Hard,"$9,554,920",Taylor Fritz,fb98
Masters 1000,Miami Open presented by Itau,403,miami,2022,Hard,"$9,554,920",Carlos Alcaraz,a0e2
ATP 250,Fayez Sarofim & Co. U.S. Men's Clay Court Championship,717,houston,2022,Clay,"$665,330",Reilly Opelka,o522
ATP 250,Grand Prix Hassan II,360,marrakech,2022,Clay,"€597,900",David Goffin,gb88
Masters 1000,Rolex Monte-Carlo Masters,410,monte-carlo,2022,Clay,"€5,802,475",Stefanos Tsitsipas,te51
ATP 500,Barcelona Open Banc Sabadell,425,barcelona,2022,Clay,"€2,802,580",Carlos Alcaraz,a0e2
ATP 250,Serbia Open,5053,belgrade,2022,Clay,"€597,900",Andrey Rublev,re44
ATP 250,BMW Open by American Express,308,munich,2022,Clay,"€597,900",Holger Rune,r0dg
ATP 250,Millennium Estoril Open,7290,estoril,2022,Clay,"€597,900",Sebastian Baez,b0bi
Masters 1000,Mutua Madrid Open,1536,madrid,2022,Clay,"€7,499,290",Carlos Alcaraz,a0e2
Masters 1000,Internazionali BNL d'Italia,416,rome,2022,Clay,"€6,008,725",Novak Djokovic,d643
ATP 250,Gonet Geneva Open,322,geneva,2022,Clay,"€597,900",Casper Ruud,rh16
ATP 250,Open Parc Auvergne-Rhone-Alpes Lyon,7694,lyon,2022,Clay,"€597,900",Cameron Norrie,n771
Grand Slam,Roland Garros,520,roland-garros,2022,Clay,"€21,256,800",Rafael Nadal,n409
ATP 250,BOSS OPEN,321,stuttgart,2022,Grass,"€769,645",Matteo Berrettini,bk40
ATP 250,Libema Open,440,s-hertogenbosch,2022,Grass,"€725,540",Tim van Rijthoven,v942
ATP 500,Cinch Championships,311,london,2022,Grass,"€2,275,275",Matteo Berrettini,bk40
ATP 500,Terra Wortmann Open,500,halle,2022,Grass,"€2,275,275",Hubert Hurkacz,hb71
ATP 250,Mallorca Championships,8994,mallorca,2022,Grass,"€951,745",Stefanos Tsitsipas,te51
ATP 250,Rothesay International,741,eastbourne,2022,Grass,"€760,750",Taylor Fritz,fb98
Grand Slam,Wimbledon,540,wimbledon,2022,Grass,"£18,652,000",Novak Djokovic,d643
ATP 250,Infosys Hall of Fame Open,315,newport,2022,Grass,"$665,330",Maxime Cressy,c0bc
ATP 250,Nordea Open,316,bastad,2022,Clay,"€597,900",Francisco Cerundolo,c0au
ATP 500,Hamburg European Open,414,hamburg,2022,Clay,"€1,911,620",Lorenzo Musetti,m0ej
ATP 250,EFG Swiss Open Gstaad,314,gstaad,2022,Clay,"€597,900",Casper Ruud,rh16
ATP 250,Atlanta Open,6116,atlanta,2022,Hard,"$792,980",Alex de Minaur,dh58
ATP 250,Generali Open,319,kitzbuhel,2022,Clay,"€597,900",Roberto Bautista Agut,bd06
ATP 250,Plava Laguna Croatia Open Umag,439,umag,2022,Clay,"€597,900",Jannik Sinner,s0ag
ATP 500,Citi Open,418,washington,2022,Hard,"$2,108,110",Nick Kyrgios,ke17
ATP 250,Abierto de Tenis Mifel,7480,los-cabos,2022,Hard,"$920,625",Daniil Medvedev,mm58
Masters 1000,National Bank Open Presented by Rogers,421,montreal,2022,Hard,"$6,573,785",Pablo Carreno Busta,cd85
Masters 1000,Western & Southern Open,422,cincinnati,2022,Hard,"$6,971,275",Borna Coric,cg80
ATP 250,Winston-Salem Open,6242,winston-salem,2022,Hard,"$823,420",Adrian Mannarino,me82
Grand Slam,US Open,560,us-open,2022,Hard,"$27,915,200",Carlos Alcaraz,a0e2
ATP 250,San Diego Open,9569,san-diego,2022,Hard,"$612,000",Brandon Nakashima,n0ae
ATP 250,Moselle Open,341,metz,2022,Hard,"€597,900",Lorenzo Sonego,su87
Laver Cup,Laver Cup,9210,laver-cup,2022,Hard,,,
ATP 250,Eugene Korea Open Tennis Championships,4140,seoul,2022,Hard,"$1,237,570",Yoshihito Nishioka,n732
ATP 250,Tel Aviv Watergen Open,4138,tel-aviv,2022,Hard,"$1,019,855",Novak Djokovic,d643
ATP 250,Sofia Open,7434,sofia,2022,Hard,"€597,900",Marc-Andrea Huesler,hh06
ATP 500,Rakuten Japan Open Tennis Championships,329,tokyo,2022,Hard,"$2,108,110",Taylor Fritz,fb98
ATP 500,Astana Open,9410,astana,2022,Hard,"$2,054,825",Novak Djokovic,d643
ATP 250,Gijon Open,2807,gijon,2022,Hard,"€675,345",Andrey Rublev,re44
ATP 250,UniCredit Firenze Open,2805,florence,2022,Hard,"€612,000",Felix Auger-Aliassime,ag37
ATP 250,European Open,7485,antwerp,2022,Hard,"€725,540",Felix Auger-Aliassime,ag37
ATP 250,Stockholm Open,429,stockholm,2022,Hard,"€725,540",Holger Rune,r0dg
ATP 250,Tennis Napoli Cup,2809,naples,2022,Hard,"€612,000",Lorenzo Musetti,m0ej
ATP 500,Erste Bank Open,337,vienna,2022,Hard,"€2,489,935",Daniil Medvedev,mm58
ATP 500,Swiss Indoors Basel,328,basel,2022,Hard,"€2,276,105",Felix Auger-Aliassime,ag37
Masters 1000,Rolex Paris Masters,352,paris,2022,Hard,"€6,008,725",Holger Rune,r0dg
Next Gen Finals,Intesa Sanpaolo Next Gen ATP Finals,7696,intesa-sanpaolo-next-gen-atp-finals,2022,Hard,"$1,622,400",Brandon Nakashima,n0ae
ATP Finals,Nitto ATP Finals,605,nitto-atp-finals,2022,Hard,"$14,750,000",Novak Djokovic,d643
